Month,DATE,MILLER NAME,AREA,BRAND,BUYER NAME,NO OF DAYS,NO OF DAY REC,BILL NO,QTLS,Rate,Amount,L.H.,C.C,,TDS,Shortage,SELLER,Diff. in,Net Amt.,chq am,Ch/DD No.,CHQ DT,bank,PLACE,   BUYER NAME,? , ,BUYER NAME 
APRIL-2026,2026-04-01,ANNAPURNA RICE & AGRO INDUSTRIES,4TH,K.K,PLATINUM TRADERS,"=IF(U2>0,""Cleared"", (TODAY()-A2&""  DAYS PENDING""))","=IF(U2>0,W2-A2 & "" days"", ""PAYMENT NOT RECD"")",1376,350.1,7271,=J2*K2,=430*350.1,=L2*4%,,,,,=T2-U2,=J2*K2-M2-N2-Q2+O2+P2,2293200,RTGS,2026-04-18,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,NANJUNDESHWARA AGENCIES,"=IF(U3>0,""Cleared"", (TODAY()-A3&""  DAYS PENDING""))","=IF(U3>0,W3-A3 & "" days"", ""PAYMENT NOT RECD"")",1700,39,=5500+200,=J3*K3,=200*39,=L3*3%,,,,,=T3-U3,=J3*K3-M3-N3-Q3+O3+P3,207700,RTGS,2026-05-27,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,SRI RAMA CASH & CARRY,"=IF(U4>0,""Cleared"", (TODAY()-A4&""  DAYS PENDING""))","=IF(U4>0,W4-A4 & "" days"", ""PAYMENT NOT RECD"")",1701,39,=5500+200,=J4*K4,=200*39,=L4*4%,,,,,=T4-U4,=J4*K4-M4-N4-Q4+O4+P4,205600,RTGS,2026-04-18,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,RAGHURAM ENTERPRISES,"=IF(U5>0,""Cleared"", (TODAY()-A5&""  DAYS PENDING""))","=IF(U5>0,W5-A5 & "" days"", ""PAYMENT NOT RECD"")",1702,54.6,=5500+200,=J5*K5,=200*54.6,=L5*3%,,,,,=T5-U5,=J5*K5-M5-N5-Q5+O5+P5,289870,272609,2026-05-07,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,5TH,HMT ST,BABA TRADERS,"=IF(U6>0,""Cleared"", (TODAY()-A6&""  DAYS PENDING""))","=IF(U6>0,W6-A6 & "" days"", ""PAYMENT NOT RECD"")",1703,52,=5500+200,=J6*K6,=200*52,=L6*3%,,,,,=T6-U6,=J6*K6-M6-N6-Q6+O6+P6,277100,RTGS,2026-05-08,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,BHADRA,HMT ST,GSS CASH BUSSINESS,"=IF(U7>0,""Cleared"", (TODAY()-A7&""  DAYS PENDING""))","=IF(U7>0,W7-A7 & "" days"", ""PAYMENT NOT RECD"")",1704,52,=5500+200,=J7*K7,=200*52,=L7*4%,,,,,=T7-U7,=J7*K7-M7-N7-Q7+O7+P7,274144,RTGS,2026-04-15,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,SUMAIAYA ENTERPRISES,"=IF(U8>0,""Cleared"", (TODAY()-A8&""  DAYS PENDING""))","=IF(U8>0,W8-A8 & "" days"", ""PAYMENT NOT RECD"")",1705,20.8,=5500+200,=J8*K8,=200*20.8,=L8*3%,,,,,=T8-U8,=J8*K8-M8-N8-Q8+O8+P8,110800,RTGS,2026-05-11,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,4TH,HMT ST,RAJA TRADERS 4TH,"=IF(U9>0,""Cleared"", (TODAY()-A9&""  DAYS PENDING""))","=IF(U9>0,W9-A9 & "" days"", ""PAYMENT NOT RECD"")",1706,39,=5500+200,=J9*K9,=200*39,=L9*4%,,,,,=T9-U9,=J9*K9-M9-N9-Q9+O9+P9,205500,RTGS,2026-04-15,,,,,,
APRIL-2026,2026-04-02,SAI TEJA PARBOILED RICE MILLS (P) LTD,6TH,HMT ST,MARUTHI TRADING CO 6TH,"=IF(U10>0,""Cleared"", (TODAY()-A10&""  DAYS PENDING""))","=IF(U10>0,W10-A10 & "" days"", ""PAYMENT NOT RECD"")",1707,15.6,=5500+200,=J10*K10,=200*15.6,=L10*4%,,,,,=T10-U10,=J10*K10-M10-N10-Q10+O10+P10,82180,4243,2026-04-13,,,,,,
APRIL-2026,2026-04-02,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,MGB,K.K,V.K FOODS,"=IF(U11>0,""Cleared"", (TODAY()-A11&""  DAYS PENDING""))","=IF(U11>0,W11-A11 & "" days"", ""PAYMENT NOT RECD"")",3850,231.6,7271,=J11*K11,=300*231.6,=L11*4%,,,,,=T11-U11,=J11*K11-M11-N11-Q11+O11+P11,2360900,RTGS,2026-04-18,,,,,,
